"","label","item_id_im","item_id_io","behavior_im","behavior_io","rt_M2SD_log_im","rt_M2SD_log_io","diff_M2SD_log","diff_sconsensus","diff_cconsensus","diff_label_score","diff_word_count","availability","valence","identity"
"1","AfDler","afdler_1","pazifist_1","Michael sagt: „Die ganzen Asylanten kommen doch nur nach Deutschland um unsere Sozialleistungen abzugreifen. Wir sollten das denen nicht auch noch so einfach machen.”","Nico sagt: „Die EU sollte entmilitarisiert werden. Wenn wir keine Waffen haben, dann werden auch andere Nationen abrüsten und es ist Schluss mit sinnlosen Kriegen.”",-0.280428502955644,-0.337068990417518,0.0566404874618736,0.03,-0.065,-0.73,-1,2.91411042944785,1.40490797546012,1.0920245398773
"2","links","links_4","afdler_1","Katharina war heute auf einer Demonstration gegen Auslandseinsätze der Bundeswehr.","Michael sagt: „Die ganzen Asylanten kommen doch nur nach Deutschland um unsere Sozialleistungen abzugreifen. Wir sollten das denen nicht auch noch so einfach machen.”",-0.285980365322127,-0.236080872892374,-0.0498994924297536,0.134,0.134,0.28,-14,3.6319018404908,3.58895705521472,3.23926380368098
"3","Atheistin","atheist_2","feminist_2","Sarah hat heute einen Termin beim Bürgeramt, um aus der Kirche auszutreten.","Monika sagt: „Frauen sind immer noch nicht wirklich gleichberechtigt. Das zeigt allein schon der fortwährende Gender Pay Gap.”",-0.266907234761317,-0.296715193196746,0.0298079584354292,-0.319,-0.421,0.15,-6,3.12883435582822,3.6441717791411,3.43558282208589
"4","Esoterikerin","esoteriker_2","atheist_2","Sonja schenkt ihren Gästen Wasser ein aus einer Karaffe mit kleinen bunten Steinchen am Boden.","Sarah hat heute einen Termin beim Bürgeramt, um aus der Kirche auszutreten.",-0.302722291597879,-0.344143281446216,0.0414209898483376,-0.031,-0.079,-0.23,3,2.20245398773006,2.3680981595092,1.49079754601227
"5","Querdenkerin","querdenker_2","esoteriker_2","Susanna sagt: „Wir leben in einer Gesundheitsdiktatur! Seit über einem Jahr sind uns unsere Grundrechte genommen!”","Sonja schenkt ihren Gästen Wasser ein aus einer Karaffe mit kleinen bunten Steinchen am Boden.",-0.241711721268482,-0.321311508893526,0.0795997876250439,0.3,0.3,0.03,1,3.28220858895706,1.52147239263804,1.20858895705521
"6","Feministin","feminist_2","verschwoerungstheoretiker_1","Monika sagt: „Frauen sind immer noch nicht wirklich gleichberechtigt. Das zeigt allein schon der fortwährende Gender Pay Gap.”","Sina sagt: „Ich glaube schon, dass uns zu 9/11 nicht die ganze Geschichte erzählt wurde. Der Terroranschlag war auf jeden Fall im Interesse der amerikanischen Regierung.”",-0.167657532512247,-0.261539187197155,0.0938816546849084,0.0499999999999999,0.15,-0.0899999999999999,-7,3.48466257668712,3.57668711656442,3.14110429447853
"7","grün","gruen_1","nazi_4","Am Fahrrad von Christina klebt ein „Atomkraft? Nein danke”-Sticker.","Heike sagt: „Man wird ja wohl auch nochmal sagen dürfen, dass im dritten Reich nicht alles schlecht war.”",-0.26571661875073,-0.337734539945708,0.0720179211949781,0.074,0.337,0.12,-8,3.51533742331288,3.80368098159509,3.31288343558282
"8","Sexist","sexist_3","gruen_1","Als sich Janniks Freundin nicht traut vom Drei-Meter-Brett zu springen, sagt er ihr, sie solle mal keine Pussy sein.","Am Fahrrad von Christina klebt ein „Atomkraft? Nein danke”-Sticker.",-0.243116583305793,-0.377560791688481,0.134444208382688,-0.074,0.013,-0.73,11,3.07361963190184,1.38650306748466,1.15950920245399
"9","Hippie","hippie_1","rassist_7","Vanessa sagt: „Man muss sich mental mal von diesem ganzen Leistungsstreben lossagen und sich auf das fokussieren was wirklich wichtig ist: Frieden, Liebe, Natur.”","Barbara sagt: „Ich hoffe die neue Kollegin ist endlich mal wieder eine Deutsche.”",-0.302273007644706,-0.393895751461196,0.0916227438164898,0.017,0.017,0.4,11,2.25766871165644,3.12883435582822,1.84049079754601
"10","konservativ","konservativ_1","hippie_1","Marion sagt: „In der guten alten Zeit konnten die Menschen noch normal sprechen. Was die Leute heute sprechen klingt überhaupt nicht mehr wie Deutsch mit den ganzen Gender-Gaps und Anglizismen.”","Vanessa sagt: „Man muss sich mental mal von diesem ganzen Leistungsstreben lossagen und sich auf das fokussieren was wirklich wichtig ist: Frieden, Liebe, Natur.”",-0.211196710079368,-0.265004512973581,0.0538078028942131,-0.105,-0.105,-0.51,7,3.52760736196319,2.39877300613497,1.94478527607362
