"","cutoff","trans","t","df","p","d_z"
"1","none","none","11.6378871179023",162,1.94318225420842e-23,0.911549670087718
"2","M2SD","none","16.5936428832408",162,4.55038862144771e-37,1.29971441916667
"3","f25","none","18.3332205730844",162,1.1674041448627e-41,1.43596865958026
"4","f20","none","18.002713155537",162,8.47814794125575e-41,1.410081320721
"5","f15","none","20.1552910828042",162,2.63761008901651e-46,1.57868423631555
"6","none","log","20.0383682447224",162,5.17687439509377e-46,1.56952613283856
"7","M2SD","log","19.0267447904442",162,1.89824787167832e-43,1.49028966863693
"8","f25","log","21.4863227693929",162,1.37940260461874e-49,1.68293868409411
"9","f20","log","21.0574378512456",162,1.53642104196105e-48,1.64934582469601
"10","f15","log","21.9208383196175",162,1.22858768647827e-50,1.71697256863369
"11","none","inv","21.4610280464986",162,1.58909815504184e-49,1.68095744849047
"12","M2SD","inv","19.0031768919511",162,2.18140714809983e-43,1.48844368835904
"13","f25","inv","21.9131384624348",162,1.28211707862569e-50,1.71636946927351
"14","f20","inv","21.4992860627753",162,1.28294239222543e-49,1.68395404759492
"15","f15","inv","21.2564619493225",162,5.00589426369729e-49,1.66493459515782
